Focus Gained 11/06/2018 10:21:25 110
KEYPRESS DOWN LControlKey 11/06/2018 10:21:25 723
Focus Lost 11/06/2018 10:21:25 735
ExposeHK Activated 11/06/2018 10:21:25 833
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 278
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 315
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 358
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 385
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 401
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 438
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 497
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 513
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 555
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 589
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 626
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 664
Focus Gained 11/06/2018 10:21:26 732
ExposeHK Hidden 11/06/2018 10:21:26 741
KEYPRESS UP LControlKey 11/06/2018 10:21:26 769
KEYPRESS DOWN LControlKey 11/06/2018 10:21:26 947
Focus Lost 11/06/2018 10:21:26 956
ExposeHK Activated 11/06/2018 10:21:26 985
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 478
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 516
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 554
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 591
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 630
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 667
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 705
Focus Gained 11/06/2018 10:21:27 750
ExposeHK Hidden 11/06/2018 10:21:27 756
KEYPRESS UP LControlKey 11/06/2018 10:21:27 778
KEYPRESS DOWN LControlKey 11/06/2018 10:21:27 932
Focus Lost 11/06/2018 10:21:27 939
ExposeHK Activated 11/06/2018 10:21:27 959
Focus Gained 11/06/2018 10:21:28 203
ExposeHK Hidden 11/06/2018 10:21:28 208
KEYPRESS UP LControlKey 11/06/2018 10:21:28 232
MOUSE Move {X=489,Y=73} 11/06/2018 10:21:28 590
MOUSE Move {X=502,Y=73} 11/06/2018 10:21:28 599
MOUSE Move {X=518,Y=73} 11/06/2018 10:21:28 610
MOUSE Move {X=555,Y=71} 11/06/2018 10:21:28 622
MOUSE Move {X=600,Y=59} 11/06/2018 10:21:28 634
MOUSE Move {X=652,Y=43} 11/06/2018 10:21:28 648
MOUSE Move {X=706,Y=27} 11/06/2018 10:21:28 662
MOUSE Move {X=765,Y=13} 11/06/2018 10:21:28 674
MOUSE Move {X=824,Y=3} 11/06/2018 10:21:28 687
MOUSE Move {X=884,Y=-3} 11/06/2018 10:21:28 700
MOUSE Move {X=947,Y=-4} 11/06/2018 10:21:28 713
MOUSE Move {X=1009,Y=0} 11/06/2018 10:21:28 725
MOUSE Move {X=1074,Y=0} 11/06/2018 10:21:28 738
MOUSE Move {X=1137,Y=1} 11/06/2018 10:21:28 750
MOUSE Move {X=1200,Y=9} 11/06/2018 10:21:28 764
MOUSE Move {X=1256,Y=17} 11/06/2018 10:21:28 777
MOUSE Move {X=1298,Y=24} 11/06/2018 10:21:28 790
MOUSE Move {X=1335,Y=30} 11/06/2018 10:21:28 803
MOUSE Move {X=1361,Y=34} 11/06/2018 10:21:28 815
MOUSE Move {X=1379,Y=38} 11/06/2018 10:21:28 828
MOUSE Move {X=1375,Y=40} 11/06/2018 10:21:28 841
MOUSE Move {X=1372,Y=42} 11/06/2018 10:21:28 854
MOUSE Move {X=1368,Y=43} 11/06/2018 10:21:28 866
MOUSE Move {X=1366,Y=43} 11/06/2018 10:21:28 880
MOUSE Move {X=1367,Y=43} 11/06/2018 10:21:28 893
MOUSE Move {X=1366,Y=44} 11/06/2018 10:21:28 905
MOUSE Move {X=1366,Y=44} 11/06/2018 10:21:28 918
MOUSE Move {X=1365,Y=44} 11/06/2018 10:21:28 944
MOUSE Move {X=1366,Y=44} 11/06/2018 10:21:28 958
MOUSE Move {X=1365,Y=44} 11/06/2018 10:21:28 975
MOUSE Move {X=1368,Y=44} 11/06/2018 10:21:28 987
MOUSE Move {X=1368,Y=44} 11/06/2018 10:21:29 0
MOUSE Move {X=1366,Y=44} 11/06/2018 10:21:29 15
MOUSE Move {X=1367,Y=45} 11/06/2018 10:21:29 28
