Focus Gained 11/06/2018 10:21:41 946
KEYPRESS DOWN LControlKey 11/06/2018 10:21:42 429
Focus Lost 11/06/2018 10:21:42 485
ExposeHK Activated 11/06/2018 10:21:42 566
KEYPRESS DOWN LControlKey 11/06/2018 10:21:43 143
KEYPRESS DOWN LControlKey 11/06/2018 10:21:43 183
Focus Gained 11/06/2018 10:21:43 352
ExposeHK Hidden 11/06/2018 10:21:43 367
KEYPRESS UP LControlKey 11/06/2018 10:21:43 400
KEYPRESS DOWN LControlKey 11/06/2018 10:21:43 499
Focus Lost 11/06/2018 10:21:43 542
ExposeHK Activated 11/06/2018 10:21:43 568
Focus Gained 11/06/2018 10:21:44 99
ExposeHK Hidden 11/06/2018 10:21:44 105
KEYPRESS UP LControlKey 11/06/2018 10:21:44 126
KEYPRESS DOWN LControlKey 11/06/2018 10:21:44 318
Focus Lost 11/06/2018 10:21:44 325
ExposeHK Activated 11/06/2018 10:21:44 348
Focus Gained 11/06/2018 10:21:44 829
ExposeHK Hidden 11/06/2018 10:21:44 835
KEYPRESS UP LControlKey 11/06/2018 10:21:44 854
KEYPRESS DOWN LControlKey 11/06/2018 10:21:45 26
Focus Lost 11/06/2018 10:21:45 34
ExposeHK Activated 11/06/2018 10:21:45 53
Focus Gained 11/06/2018 10:21:45 470
ExposeHK Hidden 11/06/2018 10:21:45 475
KEYPRESS UP LControlKey 11/06/2018 10:21:45 498
KEYPRESS DOWN LControlKey 11/06/2018 10:21:45 675
Focus Lost 11/06/2018 10:21:45 683
ExposeHK Activated 11/06/2018 10:21:45 701
KEYPRESS DOWN LControlKey 11/06/2018 10:21:46 345
KEYPRESS DOWN LControlKey 11/06/2018 10:21:46 385
Focus Gained 11/06/2018 10:21:46 523
ExposeHK Hidden 11/06/2018 10:21:46 530
KEYPRESS UP LControlKey 11/06/2018 10:21:46 550
MOUSE Move {X=502,Y=66} 11/06/2018 10:21:46 916
MOUSE Move {X=510,Y=66} 11/06/2018 10:21:46 925
MOUSE Move {X=524,Y=67} 11/06/2018 10:21:46 935
MOUSE Move {X=534,Y=68} 11/06/2018 10:21:46 946
MOUSE Move {X=545,Y=69} 11/06/2018 10:21:46 958
MOUSE Move {X=558,Y=70} 11/06/2018 10:21:46 971
MOUSE Move {X=572,Y=70} 11/06/2018 10:21:46 985
MOUSE Move {X=588,Y=70} 11/06/2018 10:21:46 997
MOUSE Move {X=693,Y=60} 11/06/2018 10:21:47 67
MOUSE Move {X=753,Y=60} 11/06/2018 10:21:47 73
MOUSE Move {X=809,Y=60} 11/06/2018 10:21:47 86
MOUSE Move {X=865,Y=65} 11/06/2018 10:21:47 99
MOUSE Move {X=915,Y=73} 11/06/2018 10:21:47 111
MOUSE Move {X=951,Y=78} 11/06/2018 10:21:47 124
MOUSE Move {X=975,Y=82} 11/06/2018 10:21:47 137
MOUSE Move {X=994,Y=86} 11/06/2018 10:21:47 150
MOUSE Move {X=1004,Y=87} 11/06/2018 10:21:47 167
MOUSE Move {X=1011,Y=88} 11/06/2018 10:21:47 180
MOUSE Move {X=1014,Y=88} 11/06/2018 10:21:47 192
MOUSE Move {X=1016,Y=89} 11/06/2018 10:21:47 205
MOUSE Move {X=1017,Y=89} 11/06/2018 10:21:47 219
MOUSE Move {X=1018,Y=89} 11/06/2018 10:21:47 233
MOUSE Move {X=1018,Y=89} 11/06/2018 10:21:47 258
MOUSE Move {X=1019,Y=89} 11/06/2018 10:21:47 269
MOUSE Move {X=1020,Y=89} 11/06/2018 10:21:47 279
MOUSE Move {X=1025,Y=87} 11/06/2018 10:21:47 292
MOUSE Move {X=1034,Y=81} 11/06/2018 10:21:47 304
MOUSE Move {X=1044,Y=76} 11/06/2018 10:21:47 318
MOUSE Move {X=1058,Y=70} 11/06/2018 10:21:47 331
MOUSE Move {X=1080,Y=64} 11/06/2018 10:21:47 343
MOUSE Move {X=1099,Y=59} 11/06/2018 10:21:47 357
MOUSE Move {X=1120,Y=53} 11/06/2018 10:21:47 370
MOUSE Move {X=1150,Y=47} 11/06/2018 10:21:47 382
MOUSE Move {X=1179,Y=40} 11/06/2018 10:21:47 395
MOUSE Move {X=1206,Y=32} 11/06/2018 10:21:47 409
MOUSE Move {X=1231,Y=26} 11/06/2018 10:21:47 421
MOUSE Move {X=1254,Y=21} 11/06/2018 10:21:47 434
MOUSE Move {X=1272,Y=20} 11/06/2018 10:21:47 447
MOUSE Move {X=1283,Y=20} 11/06/2018 10:21:47 459
MOUSE Move {X=1293,Y=20} 11/06/2018 10:21:47 472
MOUSE Move {X=1301,Y=21} 11/06/2018 10:21:47 485
MOUSE Move {X=1309,Y=22} 11/06/2018 10:21:47 498
MOUSE Move {X=1320,Y=24} 11/06/2018 10:21:47 572
MOUSE Move {X=1323,Y=25} 11/06/2018 10:21:47 577
MOUSE Move {X=1324,Y=25} 11/06/2018 10:21:47 589
MOUSE Move {X=1324,Y=26} 11/06/2018 10:21:47 602
MOUSE Move {X=1324,Y=26} 11/06/2018 10:21:47 629
MOUSE Move {X=1324,Y=27} 11/06/2018 10:21:47 640
MOUSE Move {X=1324,Y=30} 11/06/2018 10:21:47 653
MOUSE Move {X=1323,Y=33} 11/06/2018 10:21:47 665
MOUSE Move {X=1319,Y=36} 11/06/2018 10:21:47 678
MOUSE Move {X=1316,Y=39} 11/06/2018 10:21:47 691
MOUSE Move {X=1311,Y=41} 11/06/2018 10:21:47 703
MOUSE Move {X=1307,Y=43} 11/06/2018 10:21:47 717
MOUSE Move {X=1305,Y=43} 11/06/2018 10:21:47 729
MOUSE Move {X=1303,Y=44} 11/06/2018 10:21:47 743
MOUSE Move {X=1302,Y=45} 11/06/2018 10:21:47 778
MOUSE Move {X=1301,Y=45} 11/06/2018 10:21:47 794
MOUSE Move {X=1301,Y=46} 11/06/2018 10:21:47 935
MOUSE click {X=1301,Y=46} 11/06/2018 10:21:48 155
MOUSE Move {X=1301,Y=46} 11/06/2018 10:21:48 160
MOUSE release {X=1301,Y=46} 11/06/2018 10:21:48 248
MOUSE Move {X=1301,Y=46} 11/06/2018 10:21:48 253
Focus Lost 11/06/2018 10:21:48 271
