Focus Gained 12/09/2012 6:56:12 p.m. 945
MOUSE click {X=467,Y=175} 12/09/2012 6:56:13 p.m. 626
MOUSE release {X=260,Y=160} 12/09/2012 6:56:13 p.m. 889
MOUSE click {X=824,Y=40} 12/09/2012 6:56:15 p.m. 313
MOUSE release {X=513,Y=36} 12/09/2012 6:56:15 p.m. 721
MOUSE click {X=570,Y=103} 12/09/2012 6:56:16 p.m. 153
MOUSE release {X=570,Y=103} 12/09/2012 6:56:16 p.m. 233
MOUSE click {X=570,Y=103} 12/09/2012 6:56:17 p.m. 41
MOUSE release {X=570,Y=103} 12/09/2012 6:56:17 p.m. 129
MOUSE click {X=570,Y=103} 12/09/2012 6:56:17 p.m. 458
MOUSE release {X=570,Y=103} 12/09/2012 6:56:17 p.m. 521
MOUSE click {X=570,Y=103} 12/09/2012 6:56:17 p.m. 834
MOUSE release {X=570,Y=103} 12/09/2012 6:56:17 p.m. 914
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 114
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 193
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 298
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 364
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 465
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 521
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 617
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 673
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 762
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 833
MOUSE click {X=570,Y=103} 12/09/2012 6:56:18 p.m. 913
MOUSE release {X=570,Y=103} 12/09/2012 6:56:18 p.m. 985
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 65
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 130
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 217
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 290
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 369
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 441
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 527
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 591
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 679
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 743
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 831
MOUSE release {X=570,Y=103} 12/09/2012 6:56:19 p.m. 903
MOUSE click {X=570,Y=103} 12/09/2012 6:56:19 p.m. 991
