Focus Gained 13/06/2018 14:54:44 800
MOUSE Move {X=810,Y=327} 13/06/2018 14:54:44 840
MOUSE Move {X=853,Y=352} 13/06/2018 14:54:44 842
MOUSE Move {X=871,Y=362} 13/06/2018 14:54:44 843
MOUSE Move {X=872,Y=362} 13/06/2018 14:54:44 846
MOUSE Move {X=872,Y=362} 13/06/2018 14:54:44 887
MOUSE Move {X=873,Y=362} 13/06/2018 14:54:44 921
MOUSE Move {X=873,Y=362} 13/06/2018 14:54:44 939
MOUSE Move {X=873,Y=362} 13/06/2018 14:54:45 431
MOUSE Move {X=873,Y=363} 13/06/2018 14:54:45 438
MOUSE Move {X=871,Y=363} 13/06/2018 14:54:45 447
MOUSE Move {X=868,Y=365} 13/06/2018 14:54:45 455
MOUSE Move {X=863,Y=366} 13/06/2018 14:54:45 468
MOUSE Move {X=859,Y=369} 13/06/2018 14:54:45 471
MOUSE Move {X=851,Y=372} 13/06/2018 14:54:45 479
MOUSE Move {X=844,Y=376} 13/06/2018 14:54:45 487
MOUSE Move {X=834,Y=382} 13/06/2018 14:54:45 495
MOUSE Move {X=819,Y=389} 13/06/2018 14:54:45 513
MOUSE Move {X=803,Y=399} 13/06/2018 14:54:45 514
MOUSE Move {X=773,Y=412} 13/06/2018 14:54:45 519
MOUSE Move {X=739,Y=427} 13/06/2018 14:54:45 527
MOUSE Move {X=697,Y=440} 13/06/2018 14:54:45 534
MOUSE Move {X=650,Y=454} 13/06/2018 14:54:45 543
MOUSE Move {X=611,Y=465} 13/06/2018 14:54:45 550
MOUSE Move {X=573,Y=474} 13/06/2018 14:54:45 558
MOUSE Move {X=537,Y=483} 13/06/2018 14:54:45 566
MOUSE Move {X=504,Y=490} 13/06/2018 14:54:45 574
MOUSE Move {X=472,Y=495} 13/06/2018 14:54:45 582
MOUSE Move {X=442,Y=500} 13/06/2018 14:54:45 590
MOUSE Move {X=415,Y=505} 13/06/2018 14:54:45 598
MOUSE Move {X=396,Y=505} 13/06/2018 14:54:45 606
MOUSE Move {X=379,Y=505} 13/06/2018 14:54:45 614
MOUSE Move {X=364,Y=506} 13/06/2018 14:54:45 622
MOUSE Move {X=352,Y=507} 13/06/2018 14:54:45 630
MOUSE Move {X=342,Y=508} 13/06/2018 14:54:45 639
MOUSE Move {X=336,Y=509} 13/06/2018 14:54:45 646
MOUSE Move {X=333,Y=509} 13/06/2018 14:54:45 654
MOUSE Move {X=333,Y=510} 13/06/2018 14:54:45 662
MOUSE Move {X=333,Y=510} 13/06/2018 14:54:45 694
MOUSE Move {X=333,Y=510} 13/06/2018 14:54:45 702
MOUSE Move {X=335,Y=510} 13/06/2018 14:54:45 710
MOUSE Move {X=340,Y=511} 13/06/2018 14:54:45 718
MOUSE Move {X=348,Y=512} 13/06/2018 14:54:45 726
MOUSE Move {X=358,Y=512} 13/06/2018 14:54:45 734
MOUSE Move {X=373,Y=512} 13/06/2018 14:54:45 742
MOUSE Move {X=386,Y=512} 13/06/2018 14:54:45 751
MOUSE Move {X=401,Y=512} 13/06/2018 14:54:45 758
MOUSE Move {X=420,Y=513} 13/06/2018 14:54:45 767
MOUSE Move {X=445,Y=513} 13/06/2018 14:54:45 777
MOUSE Move {X=466,Y=514} 13/06/2018 14:54:45 782
MOUSE Move {X=494,Y=514} 13/06/2018 14:54:45 791
MOUSE Move {X=517,Y=516} 13/06/2018 14:54:45 798
MOUSE Move {X=551,Y=517} 13/06/2018 14:54:45 807
MOUSE Move {X=576,Y=519} 13/06/2018 14:54:45 814
MOUSE Move {X=608,Y=522} 13/06/2018 14:54:45 822
MOUSE Move {X=629,Y=525} 13/06/2018 14:54:45 831
MOUSE Move {X=653,Y=530} 13/06/2018 14:54:45 839
MOUSE Move {X=670,Y=533} 13/06/2018 14:54:45 847
MOUSE Move {X=681,Y=536} 13/06/2018 14:54:45 854
