Focus Gained 4/10/2012 10:21:09 p.m. 710
MOUSE Move {X=322,Y=225} 4/10/2012 10:21:09 p.m. 736
MOUSE Move {X=340,Y=230} 4/10/2012 10:21:09 p.m. 740
MOUSE Move {X=347,Y=232} 4/10/2012 10:21:09 p.m. 749
MOUSE Move {X=361,Y=234} 4/10/2012 10:21:09 p.m. 756
MOUSE Move {X=375,Y=236} 4/10/2012 10:21:09 p.m. 763
MOUSE Move {X=391,Y=236} 4/10/2012 10:21:09 p.m. 779
MOUSE Move {X=408,Y=236} 4/10/2012 10:21:09 p.m. 785
MOUSE Move {X=422,Y=235} 4/10/2012 10:21:09 p.m. 790
MOUSE Move {X=433,Y=235} 4/10/2012 10:21:09 p.m. 797
MOUSE Move {X=439,Y=235} 4/10/2012 10:21:09 p.m. 829
MOUSE Move {X=442,Y=235} 4/10/2012 10:21:09 p.m. 835
MOUSE Move {X=446,Y=235} 4/10/2012 10:21:10 p.m. 44
MOUSE Move {X=444,Y=230} 4/10/2012 10:21:10 p.m. 90
MOUSE Move {X=441,Y=226} 4/10/2012 10:21:10 p.m. 98
MOUSE Move {X=438,Y=219} 4/10/2012 10:21:10 p.m. 107
MOUSE Move {X=430,Y=209} 4/10/2012 10:21:10 p.m. 115
MOUSE Move {X=422,Y=202} 4/10/2012 10:21:10 p.m. 123
MOUSE Move {X=412,Y=192} 4/10/2012 10:21:10 p.m. 131
MOUSE Move {X=400,Y=182} 4/10/2012 10:21:10 p.m. 139
MOUSE Move {X=385,Y=171} 4/10/2012 10:21:10 p.m. 146
MOUSE Move {X=370,Y=162} 4/10/2012 10:21:10 p.m. 155
MOUSE Move {X=355,Y=154} 4/10/2012 10:21:10 p.m. 163
MOUSE Move {X=345,Y=146} 4/10/2012 10:21:10 p.m. 169
MOUSE Move {X=338,Y=143} 4/10/2012 10:21:10 p.m. 177
MOUSE Move {X=335,Y=140} 4/10/2012 10:21:10 p.m. 186
MOUSE Move {X=334,Y=138} 4/10/2012 10:21:10 p.m. 194
MOUSE Move {X=334,Y=137} 4/10/2012 10:21:10 p.m. 210
MOUSE Move {X=334,Y=136} 4/10/2012 10:21:10 p.m. 217
MOUSE Move {X=334,Y=135} 4/10/2012 10:21:10 p.m. 227
MOUSE Move {X=334,Y=132} 4/10/2012 10:21:10 p.m. 235
MOUSE Move {X=335,Y=130} 4/10/2012 10:21:10 p.m. 243
MOUSE Move {X=335,Y=127} 4/10/2012 10:21:10 p.m. 251
MOUSE Move {X=336,Y=124} 4/10/2012 10:21:10 p.m. 257
MOUSE Move {X=337,Y=121} 4/10/2012 10:21:10 p.m. 266
MOUSE Move {X=337,Y=119} 4/10/2012 10:21:10 p.m. 274
MOUSE Move {X=339,Y=118} 4/10/2012 10:21:10 p.m. 282
MOUSE Move {X=339,Y=115} 4/10/2012 10:21:10 p.m. 298
MOUSE Move {X=340,Y=112} 4/10/2012 10:21:10 p.m. 314
MOUSE Move {X=340,Y=110} 4/10/2012 10:21:10 p.m. 330
MOUSE Move {X=340,Y=107} 4/10/2012 10:21:10 p.m. 338
MOUSE Move {X=341,Y=106} 4/10/2012 10:21:10 p.m. 362
MOUSE Move {X=342,Y=105} 4/10/2012 10:21:10 p.m. 370
