MOUSE click {X=614,Y=80} 6/09/2012 6:04:30 p.m. 865
MOUSE release {X=524,Y=91} 6/09/2012 6:04:31 p.m. 933
KEYPRESS DOWN S 6/09/2012 6:04:32 p.m. 556
KEYPRESS DOWN B 6/09/2012 6:04:32 p.m. 607
KEYPRESS UP S 6/09/2012 6:04:32 p.m. 646
KEYPRESS DOWN V 6/09/2012 6:04:32 p.m. 663
KEYPRESS DOWN G 6/09/2012 6:04:32 p.m. 686
KEYPRESS UP B 6/09/2012 6:04:32 p.m. 727
KEYPRESS UP V 6/09/2012 6:04:32 p.m. 742
KEYPRESS UP G 6/09/2012 6:04:32 p.m. 766
KEYPRESS DOWN J 6/09/2012 6:04:32 p.m. 783
KEYPRESS DOWN S 6/09/2012 6:04:32 p.m. 807
KEYPRESS DOWN B 6/09/2012 6:04:32 p.m. 821
KEYPRESS DOWN V 6/09/2012 6:04:32 p.m. 845
KEYPRESS UP J 6/09/2012 6:04:32 p.m. 861
KEYPRESS UP S 6/09/2012 6:04:32 p.m. 903
KEYPRESS DOWN J 6/09/2012 6:04:32 p.m. 926
KEYPRESS UP B 6/09/2012 6:04:32 p.m. 958
KEYPRESS UP V 6/09/2012 6:04:32 p.m. 981
KEYPRESS UP J 6/09/2012 6:04:33 p.m. 23
KEYPRESS DOWN Return 6/09/2012 6:04:33 p.m. 175
KEYPRESS UP Return 6/09/2012 6:04:33 p.m. 317
KEYPRESS DOWN S 6/09/2012 6:04:33 p.m. 357
KEYPRESS DOWN B 6/09/2012 6:04:33 p.m. 437
KEYPRESS DOWN V 6/09/2012 6:04:33 p.m. 453
KEYPRESS DOWN J 6/09/2012 6:04:33 p.m. 477
KEYPRESS UP S 6/09/2012 6:04:33 p.m. 493
KEYPRESS UP V 6/09/2012 6:04:33 p.m. 573
KEYPRESS UP J 6/09/2012 6:04:33 p.m. 613
KEYPRESS DOWN S 6/09/2012 6:04:33 p.m. 653
KEYPRESS UP B 6/09/2012 6:04:33 p.m. 669
KEYPRESS DOWN B 6/09/2012 6:04:33 p.m. 711
KEYPRESS DOWN V 6/09/2012 6:04:33 p.m. 735
KEYPRESS DOWN J 6/09/2012 6:04:33 p.m. 749
KEYPRESS UP S 6/09/2012 6:04:33 p.m. 775
KEYPRESS UP J 6/09/2012 6:04:33 p.m. 790
KEYPRESS UP V 6/09/2012 6:04:33 p.m. 814
KEYPRESS UP B 6/09/2012 6:04:33 p.m. 830
KEYPRESS DOWN Oem7 6/09/2012 6:04:33 p.m. 927
KEYPRESS DOWN Return 6/09/2012 6:04:33 p.m. 950
KEYPRESS DOWN RShiftKey 6/09/2012 6:04:33 p.m. 965
KEYPRESS UP Return 6/09/2012 6:04:33 p.m. 989
KEYPRESS UP Oem7 6/09/2012 6:04:34 p.m. 18
KEYPRESS UP RShiftKey 6/09/2012 6:04:34 p.m. 33
KEYPRESS DOWN S 6/09/2012 6:04:34 p.m. 79
KEYPRESS DOWN F 6/09/2012 6:04:34 p.m. 117
KEYPRESS DOWN Oem7 6/09/2012 6:04:34 p.m. 159
KEYPRESS DOWN B 6/09/2012 6:04:34 p.m. 182
KEYPRESS DOWN V 6/09/2012 6:04:34 p.m. 213
KEYPRESS DOWN J 6/09/2012 6:04:34 p.m. 239
KEYPRESS UP F 6/09/2012 6:04:34 p.m. 257
KEYPRESS UP S 6/09/2012 6:04:34 p.m. 278
KEYPRESS UP Oem7 6/09/2012 6:04:34 p.m. 294
KEYPRESS UP V 6/09/2012 6:04:34 p.m. 318
KEYPRESS UP J 6/09/2012 6:04:34 p.m. 360
KEYPRESS DOWN S 6/09/2012 6:04:34 p.m. 374
KEYPRESS UP B 6/09/2012 6:04:34 p.m. 413
KEYPRESS DOWN J 6/09/2012 6:04:34 p.m. 438
KEYPRESS DOWN L 6/09/2012 6:04:34 p.m. 484
KEYPRESS DOWN F 6/09/2012 6:04:34 p.m. 489
KEYPRESS UP L 6/09/2012 6:04:34 p.m. 512
KEYPRESS UP J 6/09/2012 6:04:34 p.m. 526
KEYPRESS UP F 6/09/2012 6:04:34 p.m. 533
KEYPRESS UP S 6/09/2012 6:04:34 p.m. 557
KEYPRESS DOWN RShiftKey 6/09/2012 6:04:34 p.m. 663
KEYPRESS UP RShiftKey 6/09/2012 6:04:34 p.m. 783
KEYPRESS DOWN S 6/09/2012 6:04:34 p.m. 855
KEYPRESS DOWN J 6/09/2012 6:04:34 p.m. 909
KEYPRESS DOWN L 6/09/2012 6:04:34 p.m. 935
KEYPRESS DOWN F 6/09/2012 6:04:34 p.m. 975
KEYPRESS DOWN D 6/09/2012 6:04:34 p.m. 997
