Focus Gained 02/07/2018 14:35:11 922
MOUSE Move {X=1251,Y=734} 02/07/2018 14:35:12 650
MOUSE Move {X=1251,Y=734} 02/07/2018 14:35:12 657
MOUSE Move {X=1251,Y=734} 02/07/2018 14:35:12 665
MOUSE Move {X=1248,Y=733} 02/07/2018 14:35:12 673
MOUSE Move {X=1242,Y=730} 02/07/2018 14:35:12 681
MOUSE Move {X=1233,Y=725} 02/07/2018 14:35:12 689
MOUSE Move {X=1223,Y=719} 02/07/2018 14:35:12 697
MOUSE Move {X=1210,Y=712} 02/07/2018 14:35:12 705
MOUSE Move {X=1191,Y=700} 02/07/2018 14:35:12 713
MOUSE Move {X=1166,Y=685} 02/07/2018 14:35:12 721
MOUSE Move {X=1137,Y=669} 02/07/2018 14:35:12 729
MOUSE Move {X=1104,Y=653} 02/07/2018 14:35:12 737
MOUSE Move {X=1066,Y=632} 02/07/2018 14:35:12 745
MOUSE Move {X=1028,Y=612} 02/07/2018 14:35:12 753
MOUSE Move {X=987,Y=588} 02/07/2018 14:35:12 761
MOUSE Move {X=947,Y=567} 02/07/2018 14:35:12 769
MOUSE Move {X=906,Y=543} 02/07/2018 14:35:12 777
MOUSE Move {X=865,Y=522} 02/07/2018 14:35:12 785
MOUSE Move {X=821,Y=498} 02/07/2018 14:35:12 793
MOUSE Move {X=783,Y=477} 02/07/2018 14:35:12 804
MOUSE Move {X=743,Y=458} 02/07/2018 14:35:12 809
MOUSE Move {X=708,Y=440} 02/07/2018 14:35:12 817
MOUSE Move {X=673,Y=421} 02/07/2018 14:35:12 825
MOUSE Move {X=643,Y=406} 02/07/2018 14:35:12 833
MOUSE Move {X=616,Y=392} 02/07/2018 14:35:12 841
MOUSE Move {X=595,Y=382} 02/07/2018 14:35:12 849
MOUSE Move {X=577,Y=373} 02/07/2018 14:35:12 857
MOUSE Move {X=566,Y=367} 02/07/2018 14:35:12 865
MOUSE Move {X=554,Y=362} 02/07/2018 14:35:12 873
MOUSE Move {X=544,Y=357} 02/07/2018 14:35:12 881
MOUSE Move {X=538,Y=355} 02/07/2018 14:35:12 889
MOUSE Move {X=534,Y=354} 02/07/2018 14:35:12 897
MOUSE Move {X=529,Y=353} 02/07/2018 14:35:12 905
MOUSE Move {X=528,Y=353} 02/07/2018 14:35:12 913
MOUSE Move {X=527,Y=353} 02/07/2018 14:35:12 921
MOUSE Move {X=526,Y=353} 02/07/2018 14:35:12 929
MOUSE Move {X=525,Y=353} 02/07/2018 14:35:12 937
MOUSE Move {X=525,Y=353} 02/07/2018 14:35:13 33
MOUSE Move {X=524,Y=353} 02/07/2018 14:35:13 49
MOUSE Move {X=524,Y=353} 02/07/2018 14:35:13 58
MOUSE Move {X=523,Y=353} 02/07/2018 14:35:13 65
MOUSE Move {X=523,Y=353} 02/07/2018 14:35:13 74
MOUSE Move {X=522,Y=353} 02/07/2018 14:35:13 81
MOUSE Move {X=522,Y=353} 02/07/2018 14:35:13 89
KEYPRESS DOWN LControlKey 02/07/2018 14:35:13 468
KEYPRESS DOWN LControlKey 02/07/2018 14:35:13 961
KEYPRESS DOWN LControlKey 02/07/2018 14:35:13 994
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 27
MOUSE Move {X=522,Y=353} 02/07/2018 14:35:14 41
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 60
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 93
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 126
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 159
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 192
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 225
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 258
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 291
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 324
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 357
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 390
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 423
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 456
ExposeHK Activated 02/07/2018 14:35:14 505
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 511
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 522
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 555
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 588
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 621
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 654
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 687
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 720
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 753
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 786
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 819
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 852
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 885
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 918
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 951
KEYPRESS DOWN LControlKey 02/07/2018 14:35:14 984
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 17
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 50
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 83
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 116
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 149
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 182
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 215
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 248
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 281
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 314
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 347
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 380
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 413
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 446
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 479
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 512
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 545
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 578
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 611
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 644
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 677
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 710
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 743
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 776
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 809
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 842
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 875
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 908
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 941
KEYPRESS DOWN LControlKey 02/07/2018 14:35:15 974
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 7
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 40
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 73
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 106
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 139
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 172
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 205
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 238
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 271
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 304
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 337
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 370
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 403
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 436
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 469
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 502
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 535
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 568
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 601
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 634
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 667
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 700
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 733
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 766
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 799
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 832
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 865
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 898
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 931
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 964
KEYPRESS DOWN LControlKey 02/07/2018 14:35:16 997
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 30
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 63
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 96
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 129
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 162
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 195
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 228
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 261
KEYPRESS DOWN LControlKey 02/07/2018 14:35:17 294
