Timestamp;Participant;Aid;Phase;BlockID;Event
04/07/2018 17:05:52 436;Leon;ExposeHK;1;1;Focus Gained
04/07/2018 17:05:53 578;Leon;ExposeHK;1;1;MOUSE Move {X=1260,Y=721}
04/07/2018 17:05:53 583;Leon;ExposeHK;1;1;MOUSE Move {X=1260,Y=721}
04/07/2018 17:05:53 591;Leon;ExposeHK;1;1;MOUSE Move {X=1256,Y=718}
04/07/2018 17:05:53 599;Leon;ExposeHK;1;1;MOUSE Move {X=1246,Y=713}
04/07/2018 17:05:53 607;Leon;ExposeHK;1;1;MOUSE Move {X=1231,Y=705}
04/07/2018 17:05:53 615;Leon;ExposeHK;1;1;MOUSE Move {X=1210,Y=695}
04/07/2018 17:05:53 623;Leon;ExposeHK;1;1;MOUSE Move {X=1183,Y=683}
04/07/2018 17:05:53 631;Leon;ExposeHK;1;1;MOUSE Move {X=1160,Y=672}
04/07/2018 17:05:53 639;Leon;ExposeHK;1;1;MOUSE Move {X=1123,Y=657}
04/07/2018 17:05:53 647;Leon;ExposeHK;1;1;MOUSE Move {X=1093,Y=644}
04/07/2018 17:05:53 655;Leon;ExposeHK;1;1;MOUSE Move {X=1049,Y=628}
04/07/2018 17:05:53 663;Leon;ExposeHK;1;1;MOUSE Move {X=1012,Y=615}
04/07/2018 17:05:53 671;Leon;ExposeHK;1;1;MOUSE Move {X=970,Y=600}
04/07/2018 17:05:53 679;Leon;ExposeHK;1;1;MOUSE Move {X=919,Y=579}
04/07/2018 17:05:53 687;Leon;ExposeHK;1;1;MOUSE Move {X=874,Y=564}
04/07/2018 17:05:53 695;Leon;ExposeHK;1;1;MOUSE Move {X=840,Y=551}
04/07/2018 17:05:53 703;Leon;ExposeHK;1;1;MOUSE Move {X=798,Y=534}
04/07/2018 17:05:53 711;Leon;ExposeHK;1;1;MOUSE Move {X=772,Y=526}
04/07/2018 17:05:53 719;Leon;ExposeHK;1;1;MOUSE Move {X=738,Y=511}
04/07/2018 17:05:53 727;Leon;ExposeHK;1;1;MOUSE Move {X=715,Y=504}
04/07/2018 17:05:53 735;Leon;ExposeHK;1;1;MOUSE Move {X=697,Y=496}
04/07/2018 17:05:53 743;Leon;ExposeHK;1;1;MOUSE Move {X=679,Y=489}
04/07/2018 17:05:53 751;Leon;ExposeHK;1;1;MOUSE Move {X=665,Y=484}
04/07/2018 17:05:53 759;Leon;ExposeHK;1;1;MOUSE Move {X=652,Y=480}
04/07/2018 17:05:53 767;Leon;ExposeHK;1;1;MOUSE Move {X=638,Y=476}
04/07/2018 17:05:53 775;Leon;ExposeHK;1;1;MOUSE Move {X=625,Y=471}
04/07/2018 17:05:53 783;Leon;ExposeHK;1;1;MOUSE Move {X=613,Y=467}
04/07/2018 17:05:53 791;Leon;ExposeHK;1;1;MOUSE Move {X=603,Y=463}
04/07/2018 17:05:53 799;Leon;ExposeHK;1;1;MOUSE Move {X=593,Y=460}
04/07/2018 17:05:53 807;Leon;ExposeHK;1;1;MOUSE Move {X=584,Y=457}
04/07/2018 17:05:53 815;Leon;ExposeHK;1;1;MOUSE Move {X=577,Y=455}
04/07/2018 17:05:53 823;Leon;ExposeHK;1;1;MOUSE Move {X=570,Y=452}
04/07/2018 17:05:53 831;Leon;ExposeHK;1;1;MOUSE Move {X=564,Y=450}
04/07/2018 17:05:53 839;Leon;ExposeHK;1;1;MOUSE Move {X=558,Y=448}
04/07/2018 17:05:53 847;Leon;ExposeHK;1;1;MOUSE Move {X=552,Y=446}
04/07/2018 17:05:53 855;Leon;ExposeHK;1;1;MOUSE Move {X=549,Y=444}
04/07/2018 17:05:53 863;Leon;ExposeHK;1;1;MOUSE Move {X=544,Y=442}
04/07/2018 17:05:53 871;Leon;ExposeHK;1;1;MOUSE Move {X=540,Y=440}
04/07/2018 17:05:53 879;Leon;ExposeHK;1;1;MOUSE Move {X=536,Y=439}
04/07/2018 17:05:53 887;Leon;ExposeHK;1;1;MOUSE Move {X=531,Y=436}
04/07/2018 17:05:53 895;Leon;ExposeHK;1;1;MOUSE Move {X=527,Y=433}
04/07/2018 17:05:53 903;Leon;ExposeHK;1;1;MOUSE Move {X=521,Y=430}
04/07/2018 17:05:53 911;Leon;ExposeHK;1;1;MOUSE Move {X=514,Y=426}
04/07/2018 17:05:53 919;Leon;ExposeHK;1;1;MOUSE Move {X=507,Y=423}
04/07/2018 17:05:53 927;Leon;ExposeHK;1;1;MOUSE Move {X=500,Y=419}
04/07/2018 17:05:53 935;Leon;ExposeHK;1;1;MOUSE Move {X=493,Y=416}
04/07/2018 17:05:53 943;Leon;ExposeHK;1;1;MOUSE Move {X=484,Y=413}
04/07/2018 17:05:53 951;Leon;ExposeHK;1;1;MOUSE Move {X=475,Y=409}
04/07/2018 17:05:53 959;Leon;ExposeHK;1;1;MOUSE Move {X=466,Y=404}
04/07/2018 17:05:53 967;Leon;ExposeHK;1;1;MOUSE Move {X=458,Y=400}
