Timestamp;Participant;Aid;Phase;BlockID;Event
16/07/2018 12:54:26 723;Leon;ExposeKeyboard;2;1;Focus Gained
16/07/2018 12:54:27 247;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1225,Y=721}
16/07/2018 12:54:27 684;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1225,Y=721}
16/07/2018 12:54:27 692;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1224,Y=721}
16/07/2018 12:54:27 700;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1223,Y=720}
16/07/2018 12:54:27 708;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1220,Y=719}
16/07/2018 12:54:27 716;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1214,Y=716}
16/07/2018 12:54:27 724;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1205,Y=710}
16/07/2018 12:54:27 732;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1194,Y=705}
16/07/2018 12:54:27 740;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1174,Y=694}
16/07/2018 12:54:27 748;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1156,Y=685}
16/07/2018 12:54:27 756;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1126,Y=666}
16/07/2018 12:54:27 764;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1090,Y=645}
16/07/2018 12:54:27 772;Leon;ExposeKeyboard;2;1;MOUSE Move {X=1038,Y=614}
16/07/2018 12:54:27 780;Leon;ExposeKeyboard;2;1;MOUSE Move {X=994,Y=588}
16/07/2018 12:54:27 788;Leon;ExposeKeyboard;2;1;MOUSE Move {X=942,Y=554}
16/07/2018 12:54:27 796;Leon;ExposeKeyboard;2;1;MOUSE Move {X=895,Y=528}
16/07/2018 12:54:27 804;Leon;ExposeKeyboard;2;1;MOUSE Move {X=844,Y=501}
16/07/2018 12:54:27 812;Leon;ExposeKeyboard;2;1;MOUSE Move {X=798,Y=477}
16/07/2018 12:54:27 825;Leon;ExposeKeyboard;2;1;MOUSE Move {X=760,Y=458}
16/07/2018 12:54:27 828;Leon;ExposeKeyboard;2;1;MOUSE Move {X=717,Y=437}
16/07/2018 12:54:27 836;Leon;ExposeKeyboard;2;1;MOUSE Move {X=684,Y=421}
16/07/2018 12:54:27 844;Leon;ExposeKeyboard;2;1;MOUSE Move {X=649,Y=402}
16/07/2018 12:54:27 852;Leon;ExposeKeyboard;2;1;MOUSE Move {X=617,Y=388}
16/07/2018 12:54:27 860;Leon;ExposeKeyboard;2;1;MOUSE Move {X=599,Y=378}
16/07/2018 12:54:27 868;Leon;ExposeKeyboard;2;1;MOUSE Move {X=577,Y=365}
16/07/2018 12:54:27 876;Leon;ExposeKeyboard;2;1;MOUSE Move {X=561,Y=358}
16/07/2018 12:54:27 884;Leon;ExposeKeyboard;2;1;MOUSE Move {X=549,Y=352}
16/07/2018 12:54:27 892;Leon;ExposeKeyboard;2;1;MOUSE Move {X=540,Y=347}
16/07/2018 12:54:27 900;Leon;ExposeKeyboard;2;1;MOUSE Move {X=533,Y=344}
16/07/2018 12:54:27 908;Leon;ExposeKeyboard;2;1;MOUSE Move {X=528,Y=341}
16/07/2018 12:54:27 916;Leon;ExposeKeyboard;2;1;MOUSE Move {X=523,Y=340}
16/07/2018 12:54:27 924;Leon;ExposeKeyboard;2;1;MOUSE Move {X=520,Y=338}
16/07/2018 12:54:27 932;Leon;ExposeKeyboard;2;1;MOUSE Move {X=518,Y=336}
16/07/2018 12:54:27 940;Leon;ExposeKeyboard;2;1;MOUSE Move {X=513,Y=335}
16/07/2018 12:54:27 948;Leon;ExposeKeyboard;2;1;MOUSE Move {X=510,Y=333}
16/07/2018 12:54:27 956;Leon;ExposeKeyboard;2;1;MOUSE Move {X=508,Y=332}
16/07/2018 12:54:27 964;Leon;ExposeKeyboard;2;1;MOUSE Move {X=505,Y=331}
16/07/2018 12:54:27 972;Leon;ExposeKeyboard;2;1;MOUSE Move {X=504,Y=329}
16/07/2018 12:54:27 980;Leon;ExposeKeyboard;2;1;MOUSE Move {X=502,Y=329}
16/07/2018 12:54:27 988;Leon;ExposeKeyboard;2;1;MOUSE Move {X=501,Y=327}
16/07/2018 12:54:27 996;Leon;ExposeKeyboard;2;1;MOUSE Move {X=500,Y=326}
16/07/2018 12:54:28 4;Leon;ExposeKeyboard;2;1;MOUSE Move {X=498,Y=325}
16/07/2018 12:54:28 12;Leon;ExposeKeyboard;2;1;MOUSE Move {X=496,Y=324}
16/07/2018 12:54:28 21;Leon;ExposeKeyboard;2;1;MOUSE Move {X=494,Y=323}
16/07/2018 12:54:28 28;Leon;ExposeKeyboard;2;1;MOUSE Move {X=490,Y=322}
16/07/2018 12:54:28 36;Leon;ExposeKeyboard;2;1;MOUSE Move {X=487,Y=321}
16/07/2018 12:54:28 44;Leon;ExposeKeyboard;2;1;MOUSE Move {X=484,Y=319}
16/07/2018 12:54:28 52;Leon;ExposeKeyboard;2;1;MOUSE Move {X=481,Y=318}
16/07/2018 12:54:28 60;Leon;ExposeKeyboard;2;1;MOUSE Move {X=476,Y=317}
16/07/2018 12:54:28 68;Leon;ExposeKeyboard;2;1;MOUSE Move {X=473,Y=315}
16/07/2018 12:54:28 76;Leon;ExposeKeyboard;2;1;MOUSE Move {X=468,Y=313}
16/07/2018 12:54:28 84;Leon;ExposeKeyboard;2;1;MOUSE Move {X=463,Y=310}
16/07/2018 12:54:28 92;Leon;ExposeKeyboard;2;1;MOUSE Move {X=460,Y=309}
16/07/2018 12:54:28 100;Leon;ExposeKeyboard;2;1;MOUSE Move {X=457,Y=308}
16/07/2018 12:54:28 108;Leon;ExposeKeyboard;2;1;MOUSE Move {X=453,Y=306}
16/07/2018 12:54:28 116;Leon;ExposeKeyboard;2;1;MOUSE Move {X=450,Y=304}
16/07/2018 12:54:28 124;Leon;ExposeKeyboard;2;1;MOUSE Move {X=448,Y=303}
16/07/2018 12:54:28 132;Leon;ExposeKeyboard;2;1;MOUSE Move {X=445,Y=301}
16/07/2018 12:54:28 140;Leon;ExposeKeyboard;2;1;MOUSE Move {X=443,Y=301}
16/07/2018 12:54:28 148;Leon;ExposeKeyboard;2;1;MOUSE Move {X=442,Y=299}
16/07/2018 12:54:28 156;Leon;ExposeKeyboard;2;1;MOUSE Move {X=442,Y=299}
16/07/2018 12:54:28 164;Leon;ExposeKeyboard;2;1;MOUSE Move {X=442,Y=298}
16/07/2018 12:54:28 172;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 180;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 188;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=297}
16/07/2018 12:54:28 196;Leon;ExposeKeyboard;2;1;MOUSE Move {X=441,Y=296}
16/07/2018 12:54:28 252;Leon;ExposeKeyboard;2;1;MOUSE Move {X=440,Y=296}
16/07/2018 12:54:28 260;Leon;ExposeKeyboard;2;1;MOUSE Move {X=440,Y=296}
16/07/2018 12:54:28 291;Leon;ExposeKeyboard;2;1;MOUSE Move {X=439,Y=296}
16/07/2018 12:54:28 293;Leon;ExposeKeyboard;2;1;MOUSE Move {X=439,Y=295}
16/07/2018 12:54:28 500;Leon;ExposeKeyboard;2;1;MOUSE Move {X=438,Y=295}
16/07/2018 12:54:28 508;Leon;ExposeKeyboard;2;1;MOUSE Move {X=438,Y=295}
16/07/2018 12:54:28 516;Leon;ExposeKeyboard;2;1;MOUSE Move {X=437,Y=295}
16/07/2018 12:54:28 524;Leon;ExposeKeyboard;2;1;MOUSE Move {X=434,Y=295}
16/07/2018 12:54:28 532;Leon;ExposeKeyboard;2;1;MOUSE Move {X=431,Y=295}
16/07/2018 12:54:28 540;Leon;ExposeKeyboard;2;1;MOUSE Move {X=428,Y=295}
16/07/2018 12:54:28 548;Leon;ExposeKeyboard;2;1;Text Selection MOUSE 

16/07/2018 12:54:28 548;Leon;ExposeKeyboard;2;1;MOUSE Move {X=425,Y=295}
16/07/2018 12:54:28 556;Leon;ExposeKeyboard;2;1;MOUSE Move {X=422,Y=295}
