Focus Gained 06/06/2018 17:51:06 719
MOUSE Move {X=513,Y=63} 06/06/2018 17:51:07 984
MOUSE Move {X=512,Y=63} 06/06/2018 17:51:07 995
MOUSE Move {X=509,Y=63} 06/06/2018 17:51:08 7
MOUSE Move {X=505,Y=64} 06/06/2018 17:51:08 21
MOUSE Move {X=501,Y=64} 06/06/2018 17:51:08 33
MOUSE Move {X=495,Y=64} 06/06/2018 17:51:08 47
MOUSE Move {X=485,Y=63} 06/06/2018 17:51:08 60
MOUSE Move {X=471,Y=63} 06/06/2018 17:51:08 73
MOUSE Move {X=456,Y=64} 06/06/2018 17:51:08 85
MOUSE Move {X=439,Y=69} 06/06/2018 17:51:08 99
MOUSE Move {X=423,Y=75} 06/06/2018 17:51:08 111
MOUSE Move {X=403,Y=82} 06/06/2018 17:51:08 124
MOUSE Move {X=389,Y=91} 06/06/2018 17:51:08 156
MOUSE Move {X=375,Y=101} 06/06/2018 17:51:08 170
MOUSE Move {X=366,Y=109} 06/06/2018 17:51:08 184
MOUSE Move {X=361,Y=115} 06/06/2018 17:51:08 197
MOUSE Move {X=360,Y=117} 06/06/2018 17:51:08 212
ToolTip BlackButton 06/06/2018 17:51:08 606
KEYPRESS DOWN LMenu 06/06/2018 17:51:08 796
KEYPRESS UP LMenu 06/06/2018 17:51:09 116
KEYPRESS DOWN LControlKey 06/06/2018 17:51:09 314
ExposeHK Activated 06/06/2018 17:51:09 315
KEYPRESS DOWN LControlKey 06/06/2018 17:51:09 845
KEYPRESS DOWN LControlKey 06/06/2018 17:51:09 882
ExposeHK Hidden 06/06/2018 17:51:09 937
KEYPRESS UP LControlKey 06/06/2018 17:51:09 951
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 121
ExposeHK Activated 06/06/2018 17:51:10 121
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 652
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 690
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 728
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 765
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 802
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 840
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 878
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 915
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 952
KEYPRESS DOWN LControlKey 06/06/2018 17:51:10 991
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 28
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 65
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 102
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 140
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 178
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 218
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 253
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 291
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 328
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 366
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 403
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 441
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 478
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 515
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 554
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 591
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 629
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 666
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 704
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 742
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 779
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 816
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 854
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 891
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 929
KEYPRESS DOWN LControlKey 06/06/2018 17:51:11 966
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 3
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 42
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 79
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 117
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 154
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 192
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 229
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 267
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 304
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 341
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 380
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 417
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 454
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 492
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 530
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 567
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 605
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 642
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 679
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 720
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 755
KEYPRESS DOWN LControlKey 06/06/2018 17:51:12 793
ExposeHK Hidden 06/06/2018 17:51:12 852
KEYPRESS UP LControlKey 06/06/2018 17:51:12 865
MOUSE Move {X=360,Y=118} 06/06/2018 17:51:13 766
MOUSE Move {X=363,Y=121} 06/06/2018 17:51:13 780
MOUSE Move {X=372,Y=125} 06/06/2018 17:51:13 792
MOUSE Move {X=385,Y=130} 06/06/2018 17:51:13 805
MOUSE Move {X=412,Y=134} 06/06/2018 17:51:13 818
MOUSE Move {X=443,Y=139} 06/06/2018 17:51:13 830
MOUSE Move {X=480,Y=144} 06/06/2018 17:51:13 843
MOUSE Move {X=538,Y=155} 06/06/2018 17:51:13 856
MOUSE Move {X=602,Y=165} 06/06/2018 17:51:13 869
MOUSE Move {X=652,Y=173} 06/06/2018 17:51:13 882
MOUSE Move {X=700,Y=182} 06/06/2018 17:51:13 895
MOUSE Move {X=743,Y=193} 06/06/2018 17:51:13 908
MOUSE Move {X=784,Y=206} 06/06/2018 17:51:13 920
MOUSE Move {X=822,Y=217} 06/06/2018 17:51:13 933
MOUSE Move {X=847,Y=225} 06/06/2018 17:51:13 946
MOUSE Move {X=864,Y=230} 06/06/2018 17:51:13 958
MOUSE Move {X=877,Y=232} 06/06/2018 17:51:13 972
MOUSE Move {X=890,Y=233} 06/06/2018 17:51:13 984
MOUSE Move {X=902,Y=235} 06/06/2018 17:51:13 997
MOUSE Move {X=912,Y=236} 06/06/2018 17:51:14 10
MOUSE Move {X=919,Y=238} 06/06/2018 17:51:14 23
MOUSE Move {X=924,Y=239} 06/06/2018 17:51:14 36
MOUSE Move {X=929,Y=239} 06/06/2018 17:51:14 49
MOUSE Move {X=934,Y=240} 06/06/2018 17:51:14 63
MOUSE Move {X=943,Y=241} 06/06/2018 17:51:14 74
MOUSE Move {X=956,Y=246} 06/06/2018 17:51:14 88
MOUSE Move {X=977,Y=255} 06/06/2018 17:51:14 101
MOUSE Move {X=998,Y=267} 06/06/2018 17:51:14 113
MOUSE Move {X=1022,Y=281} 06/06/2018 17:51:14 127
MOUSE Move {X=1046,Y=296} 06/06/2018 17:51:14 139
MOUSE Move {X=1067,Y=308} 06/06/2018 17:51:14 152
MOUSE Move {X=1077,Y=315} 06/06/2018 17:51:14 164
MOUSE Move {X=1085,Y=322} 06/06/2018 17:51:14 178
MOUSE Move {X=1087,Y=324} 06/06/2018 17:51:14 190
MOUSE Move {X=1087,Y=327} 06/06/2018 17:51:14 203
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 217
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 753
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 777
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 790
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 801
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 815
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 828
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 840
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 853
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 866
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 878
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 891
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 905
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 916
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 930
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 955
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:14 994
MOUSE Move {X=1086,Y=332} 06/06/2018 17:51:15 177
MOUSE Move {X=1086,Y=329} 06/06/2018 17:51:15 188
MOUSE Move {X=1082,Y=325} 06/06/2018 17:51:15 201
MOUSE Move {X=1078,Y=321} 06/06/2018 17:51:15 211
MOUSE Move {X=1062,Y=316} 06/06/2018 17:51:15 224
MOUSE Move {X=1029,Y=307} 06/06/2018 17:51:15 237
MOUSE Move {X=998,Y=301} 06/06/2018 17:51:15 249
MOUSE Move {X=958,Y=295} 06/06/2018 17:51:15 265
MOUSE Move {X=921,Y=290} 06/06/2018 17:51:15 281
MOUSE Move {X=884,Y=283} 06/06/2018 17:51:15 294
MOUSE Move {X=848,Y=278} 06/06/2018 17:51:15 305
MOUSE Move {X=819,Y=275} 06/06/2018 17:51:15 318
MOUSE Move {X=802,Y=273} 06/06/2018 17:51:15 333
MOUSE Move {X=786,Y=270} 06/06/2018 17:51:15 347
MOUSE Move {X=774,Y=266} 06/06/2018 17:51:15 357
MOUSE Move {X=768,Y=265} 06/06/2018 17:51:15 368
MOUSE Move {X=768,Y=265} 06/06/2018 17:51:15 443
MOUSE Move {X=768,Y=265} 06/06/2018 17:51:15 456
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 469
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 482
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 495
MOUSE click {X=770,Y=265} 06/06/2018 17:51:15 508
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 509
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 662
MOUSE release {X=770,Y=265} 06/06/2018 17:51:15 674
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 674
MOUSE Move {X=770,Y=265} 06/06/2018 17:51:15 917
MOUSE Move {X=769,Y=264} 06/06/2018 17:51:15 930
MOUSE Move {X=765,Y=259} 06/06/2018 17:51:15 943
MOUSE Move {X=760,Y=251} 06/06/2018 17:51:15 955
MOUSE Move {X=753,Y=238} 06/06/2018 17:51:15 968
MOUSE Move {X=742,Y=217} 06/06/2018 17:51:15 981
MOUSE Move {X=732,Y=196} 06/06/2018 17:51:15 994
MOUSE Move {X=725,Y=183} 06/06/2018 17:51:16 6
MOUSE Move {X=720,Y=175} 06/06/2018 17:51:16 19
MOUSE Move {X=716,Y=169} 06/06/2018 17:51:16 33
MOUSE Move {X=713,Y=165} 06/06/2018 17:51:16 45
MOUSE Move {X=712,Y=164} 06/06/2018 17:51:16 58
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 71
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 97
MOUSE Move {X=711,Y=162} 06/06/2018 17:51:16 109
MOUSE Move {X=711,Y=162} 06/06/2018 17:51:16 289
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 303
MOUSE Move {X=714,Y=166} 06/06/2018 17:51:16 320
MOUSE Move {X=720,Y=173} 06/06/2018 17:51:16 331
MOUSE Move {X=724,Y=183} 06/06/2018 17:51:16 347
MOUSE Move {X=726,Y=191} 06/06/2018 17:51:16 360
MOUSE Move {X=728,Y=198} 06/06/2018 17:51:16 375
MOUSE Move {X=731,Y=205} 06/06/2018 17:51:16 388
MOUSE Move {X=734,Y=210} 06/06/2018 17:51:16 399
MOUSE Move {X=735,Y=211} 06/06/2018 17:51:16 410
MOUSE Move {X=735,Y=211} 06/06/2018 17:51:16 421
MOUSE Move {X=735,Y=212} 06/06/2018 17:51:16 432
MOUSE Move {X=736,Y=212} 06/06/2018 17:51:16 455
MOUSE Move {X=737,Y=212} 06/06/2018 17:51:16 468
