Focus Gained 08/06/2018 14:04:56 299
MOUSE Move {X=397,Y=243} 08/06/2018 14:04:56 326
MOUSE Move {X=399,Y=249} 08/06/2018 14:04:56 335
MOUSE Move {X=400,Y=250} 08/06/2018 14:04:56 346
MOUSE Move {X=400,Y=251} 08/06/2018 14:04:56 423
MOUSE Move {X=400,Y=251} 08/06/2018 14:04:56 430
MOUSE Move {X=400,Y=252} 08/06/2018 14:04:56 471
MOUSE Move {X=400,Y=252} 08/06/2018 14:04:56 482
MOUSE Move {X=400,Y=253} 08/06/2018 14:04:56 507
MOUSE Move {X=400,Y=254} 08/06/2018 14:04:56 520
MOUSE Move {X=400,Y=255} 08/06/2018 14:04:56 533
MOUSE Move {X=400,Y=255} 08/06/2018 14:04:56 546
MOUSE Move {X=400,Y=256} 08/06/2018 14:04:56 559
MOUSE Move {X=400,Y=257} 08/06/2018 14:04:56 571
MOUSE Move {X=400,Y=256} 08/06/2018 14:04:56 829
MOUSE Move {X=400,Y=249} 08/06/2018 14:04:56 841
MOUSE Move {X=404,Y=233} 08/06/2018 14:04:56 854
MOUSE Move {X=408,Y=212} 08/06/2018 14:04:56 868
MOUSE Move {X=414,Y=188} 08/06/2018 14:04:56 880
MOUSE Move {X=378,Y=165} 08/06/2018 14:04:56 947
MOUSE Move {X=346,Y=160} 08/06/2018 14:04:56 970
MOUSE Move {X=312,Y=164} 08/06/2018 14:04:56 998
MOUSE Move {X=287,Y=171} 08/06/2018 14:04:57 9
MOUSE Move {X=269,Y=180} 08/06/2018 14:04:57 22
MOUSE Move {X=262,Y=184} 08/06/2018 14:04:57 42
MOUSE Move {X=259,Y=184} 08/06/2018 14:04:57 220
MOUSE Move {X=249,Y=181} 08/06/2018 14:04:57 231
MOUSE Move {X=237,Y=174} 08/06/2018 14:04:57 241
MOUSE Move {X=227,Y=166} 08/06/2018 14:04:57 252
MOUSE Move {X=213,Y=155} 08/06/2018 14:04:57 265
MOUSE Move {X=183,Y=134} 08/06/2018 14:04:57 277
MOUSE Move {X=155,Y=113} 08/06/2018 14:04:57 291
MOUSE Move {X=137,Y=95} 08/06/2018 14:04:57 303
MOUSE Move {X=125,Y=80} 08/06/2018 14:04:57 318
MOUSE Move {X=119,Y=71} 08/06/2018 14:04:57 331
MOUSE Move {X=117,Y=68} 08/06/2018 14:04:57 344
MOUSE Move {X=116,Y=67} 08/06/2018 14:04:57 359
MOUSE Move {X=122,Y=62} 08/06/2018 14:04:57 372
MOUSE Move {X=147,Y=55} 08/06/2018 14:04:57 387
MOUSE Move {X=197,Y=51} 08/06/2018 14:04:57 399
MOUSE Move {X=267,Y=52} 08/06/2018 14:04:57 410
MOUSE Move {X=358,Y=66} 08/06/2018 14:04:57 420
MOUSE Move {X=425,Y=80} 08/06/2018 14:04:57 431
MOUSE Move {X=484,Y=94} 08/06/2018 14:04:57 444
MOUSE Move {X=559,Y=114} 08/06/2018 14:04:57 456
MOUSE Move {X=616,Y=130} 08/06/2018 14:04:57 470
MOUSE Move {X=651,Y=141} 08/06/2018 14:04:57 483
MOUSE Move {X=666,Y=147} 08/06/2018 14:04:57 495
MOUSE Move {X=674,Y=149} 08/06/2018 14:04:57 509
MOUSE Move {X=675,Y=149} 08/06/2018 14:04:57 703
MOUSE Move {X=681,Y=149} 08/06/2018 14:04:57 714
MOUSE Move {X=893,Y=126} 08/06/2018 14:04:57 858
MOUSE Move {X=912,Y=124} 08/06/2018 14:04:57 864
MOUSE Move {X=913,Y=124} 08/06/2018 14:04:57 879
MOUSE Move {X=913,Y=124} 08/06/2018 14:04:57 892
MOUSE Move {X=914,Y=124} 08/06/2018 14:04:57 904
MOUSE Move {X=915,Y=124} 08/06/2018 14:04:57 957
MOUSE Move {X=921,Y=124} 08/06/2018 14:04:57 970
MOUSE Move {X=935,Y=127} 08/06/2018 14:04:57 982
MOUSE Move {X=956,Y=132} 08/06/2018 14:04:57 996
