Focus Gained 12/09/2012 7:11:37 p.m. 56
MOUSE click {X=475,Y=170} 12/09/2012 7:11:37 p.m. 760
MOUSE release {X=363,Y=162} 12/09/2012 7:11:38 p.m. 114
MOUSE click {X=648,Y=36} 12/09/2012 7:11:38 p.m. 626
MOUSE release {X=310,Y=40} 12/09/2012 7:11:39 p.m. 603
MOUSE click {X=543,Y=110} 12/09/2012 7:11:40 p.m. 242
MOUSE release {X=543,Y=110} 12/09/2012 7:11:40 p.m. 346
MOUSE click {X=543,Y=110} 12/09/2012 7:11:41 p.m. 727
MOUSE release {X=543,Y=110} 12/09/2012 7:11:41 p.m. 832
MOUSE click {X=543,Y=110} 12/09/2012 7:11:42 p.m. 722
MOUSE release {X=543,Y=110} 12/09/2012 7:11:42 p.m. 826
MOUSE click {X=543,Y=110} 12/09/2012 7:11:43 p.m. 930
MOUSE release {X=543,Y=110} 12/09/2012 7:11:44 p.m. 27
MOUSE click {X=543,Y=110} 12/09/2012 7:11:44 p.m. 994
MOUSE release {X=543,Y=110} 12/09/2012 7:11:45 p.m. 90
MOUSE click {X=543,Y=110} 12/09/2012 7:11:46 p.m. 242
MOUSE release {X=543,Y=110} 12/09/2012 7:11:46 p.m. 338
MOUSE click {X=543,Y=110} 12/09/2012 7:11:47 p.m. 578
MOUSE release {X=543,Y=110} 12/09/2012 7:11:47 p.m. 674
MOUSE click {X=522,Y=109} 12/09/2012 7:11:48 p.m. 538
MOUSE release {X=522,Y=109} 12/09/2012 7:11:48 p.m. 650
MOUSE click {X=522,Y=109} 12/09/2012 7:11:49 p.m. 530
MOUSE release {X=522,Y=109} 12/09/2012 7:11:49 p.m. 626
MOUSE click {X=522,Y=109} 12/09/2012 7:11:50 p.m. 474
MOUSE release {X=522,Y=109} 12/09/2012 7:11:50 p.m. 570
MOUSE click {X=522,Y=109} 12/09/2012 7:11:51 p.m. 530
MOUSE release {X=522,Y=109} 12/09/2012 7:11:51 p.m. 658
MOUSE click {X=657,Y=31} 12/09/2012 7:11:53 p.m. 946
MOUSE release {X=657,Y=31} 12/09/2012 7:11:54 p.m. 58
Focus Lost 12/09/2012 7:11:54 p.m. 80
MOUSE click {X=765,Y=433} 12/09/2012 7:11:55 p.m. 56
MOUSE release {X=765,Y=433} 12/09/2012 7:11:55 p.m. 162
Focus Gained 12/09/2012 7:11:55 p.m. 169
Focus Lost 12/09/2012 7:11:55 p.m. 190
