Focus Gained 4/10/2012 10:16:15 p.m. 609
MOUSE Move {X=285,Y=222} 4/10/2012 10:16:15 p.m. 632
MOUSE Move {X=304,Y=228} 4/10/2012 10:16:15 p.m. 635
MOUSE Move {X=313,Y=230} 4/10/2012 10:16:15 p.m. 637
MOUSE Move {X=322,Y=232} 4/10/2012 10:16:15 p.m. 658
MOUSE Move {X=339,Y=234} 4/10/2012 10:16:15 p.m. 660
MOUSE Move {X=348,Y=235} 4/10/2012 10:16:15 p.m. 670
MOUSE Move {X=353,Y=237} 4/10/2012 10:16:15 p.m. 687
MOUSE Move {X=357,Y=240} 4/10/2012 10:16:15 p.m. 688
MOUSE Move {X=360,Y=240} 4/10/2012 10:16:15 p.m. 694
MOUSE Move {X=362,Y=240} 4/10/2012 10:16:15 p.m. 715
MOUSE Move {X=362,Y=238} 4/10/2012 10:16:16 p.m. 148
MOUSE Move {X=362,Y=237} 4/10/2012 10:16:16 p.m. 156
MOUSE Move {X=361,Y=236} 4/10/2012 10:16:16 p.m. 196
MOUSE Move {X=360,Y=236} 4/10/2012 10:16:16 p.m. 212
MOUSE Move {X=359,Y=236} 4/10/2012 10:16:16 p.m. 228
MOUSE Move {X=356,Y=236} 4/10/2012 10:16:16 p.m. 244
MOUSE Move {X=353,Y=236} 4/10/2012 10:16:16 p.m. 260
MOUSE Move {X=352,Y=239} 4/10/2012 10:16:16 p.m. 267
MOUSE Move {X=351,Y=240} 4/10/2012 10:16:16 p.m. 276
MOUSE Move {X=348,Y=243} 4/10/2012 10:16:16 p.m. 283
MOUSE Move {X=345,Y=246} 4/10/2012 10:16:16 p.m. 291
MOUSE Move {X=342,Y=249} 4/10/2012 10:16:16 p.m. 299
MOUSE Move {X=339,Y=251} 4/10/2012 10:16:16 p.m. 307
MOUSE Move {X=336,Y=254} 4/10/2012 10:16:16 p.m. 316
MOUSE Move {X=333,Y=257} 4/10/2012 10:16:16 p.m. 324
MOUSE Move {X=332,Y=260} 4/10/2012 10:16:16 p.m. 332
MOUSE Move {X=329,Y=262} 4/10/2012 10:16:16 p.m. 339
MOUSE Move {X=328,Y=264} 4/10/2012 10:16:16 p.m. 347
MOUSE Move {X=325,Y=267} 4/10/2012 10:16:16 p.m. 355
MOUSE Move {X=322,Y=270} 4/10/2012 10:16:16 p.m. 363
MOUSE Move {X=321,Y=271} 4/10/2012 10:16:16 p.m. 372
MOUSE Move {X=320,Y=272} 4/10/2012 10:16:16 p.m. 379
MOUSE Move {X=317,Y=272} 4/10/2012 10:16:16 p.m. 388
MOUSE Move {X=316,Y=274} 4/10/2012 10:16:16 p.m. 396
MOUSE Move {X=315,Y=274} 4/10/2012 10:16:16 p.m. 444
MOUSE Move {X=314,Y=273} 4/10/2012 10:16:16 p.m. 468
MOUSE Move {X=313,Y=272} 4/10/2012 10:16:16 p.m. 476
MOUSE Move {X=310,Y=270} 4/10/2012 10:16:16 p.m. 484
MOUSE Move {X=307,Y=267} 4/10/2012 10:16:16 p.m. 492
MOUSE Move {X=304,Y=264} 4/10/2012 10:16:16 p.m. 500
MOUSE Move {X=303,Y=261} 4/10/2012 10:16:16 p.m. 507
MOUSE Move {X=300,Y=256} 4/10/2012 10:16:16 p.m. 516
MOUSE Move {X=297,Y=254} 4/10/2012 10:16:16 p.m. 524
MOUSE Move {X=292,Y=250} 4/10/2012 10:16:16 p.m. 532
MOUSE Move {X=287,Y=246} 4/10/2012 10:16:16 p.m. 540
MOUSE Move {X=285,Y=244} 4/10/2012 10:16:16 p.m. 548
MOUSE Move {X=276,Y=237} 4/10/2012 10:16:16 p.m. 564
MOUSE Move {X=273,Y=236} 4/10/2012 10:16:16 p.m. 572
MOUSE Move {X=272,Y=235} 4/10/2012 10:16:16 p.m. 580
MOUSE Move {X=271,Y=235} 4/10/2012 10:16:16 p.m. 588
MOUSE Move {X=269,Y=233} 4/10/2012 10:16:16 p.m. 596
MOUSE Move {X=268,Y=232} 4/10/2012 10:16:16 p.m. 620
MOUSE Move {X=267,Y=231} 4/10/2012 10:16:16 p.m. 628
MOUSE Move {X=265,Y=231} 4/10/2012 10:16:16 p.m. 636
MOUSE Move {X=263,Y=230} 4/10/2012 10:16:16 p.m. 644
MOUSE Move {X=261,Y=229} 4/10/2012 10:16:16 p.m. 651
MOUSE Move {X=258,Y=227} 4/10/2012 10:16:16 p.m. 668
MOUSE Move {X=257,Y=226} 4/10/2012 10:16:16 p.m. 676
MOUSE Move {X=254,Y=224} 4/10/2012 10:16:16 p.m. 691
MOUSE Move {X=253,Y=221} 4/10/2012 10:16:16 p.m. 707
MOUSE Move {X=252,Y=220} 4/10/2012 10:16:16 p.m. 716
MOUSE Move {X=252,Y=217} 4/10/2012 10:16:16 p.m. 724
