Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
25/07/2018 13:17:22.118;22;none;none;none;0;none;none;none;none;none;none;Focus Gained
25/07/2018 13:17:22.580;485;none;none;none;0;none;Mouse;Move;968;742;none;none
25/07/2018 13:17:22.584;488;none;none;none;0;none;Mouse;Move;968;742;none;none
25/07/2018 13:17:22.592;497;none;none;none;0;none;Mouse;Move;966;742;none;none
25/07/2018 13:17:22.600;505;none;none;none;0;none;Mouse;Move;961;739;none;none
25/07/2018 13:17:22.608;513;none;none;none;0;none;Mouse;Move;953;734;none;none
25/07/2018 13:17:22.616;520;none;none;none;0;none;Mouse;Move;942;729;none;none
25/07/2018 13:17:22.624;528;none;none;none;0;none;Mouse;Move;929;722;none;none
25/07/2018 13:17:22.632;536;none;none;none;0;none;Mouse;Move;914;715;none;none
25/07/2018 13:17:22.640;544;none;none;none;0;none;Mouse;Move;901;709;none;none
25/07/2018 13:17:22.648;552;none;none;none;0;none;Mouse;Move;883;703;none;none
25/07/2018 13:17:22.656;560;none;none;none;0;none;Mouse;Move;857;693;none;none
25/07/2018 13:17:22.664;568;none;none;none;0;none;Mouse;Move;826;681;none;none
25/07/2018 13:17:22.672;576;none;none;none;0;none;Mouse;Move;795;671;none;none
25/07/2018 13:17:22.680;584;none;none;none;0;none;Mouse;Move;758;656;none;none
25/07/2018 13:17:22.688;592;none;none;none;0;none;Mouse;Move;718;643;none;none
25/07/2018 13:17:22.696;600;none;none;none;0;none;Mouse;Move;679;630;none;none
25/07/2018 13:17:22.704;608;none;none;none;0;none;Mouse;Move;646;623;none;none
25/07/2018 13:17:22.712;616;none;none;none;0;none;Mouse;Move;614;616;none;none
25/07/2018 13:17:22.720;624;none;none;none;0;none;Mouse;Move;587;613;none;none
25/07/2018 13:17:22.728;632;none;none;none;0;none;Mouse;Move;564;610;none;none
25/07/2018 13:17:22.736;640;none;none;none;0;none;Mouse;Move;546;609;none;none
25/07/2018 13:17:22.744;648;none;none;none;0;none;Mouse;Move;528;607;none;none
25/07/2018 13:17:22.752;656;none;none;none;0;none;Mouse;Move;511;606;none;none
25/07/2018 13:17:22.760;664;none;none;none;0;none;Mouse;Move;499;606;none;none
25/07/2018 13:17:22.768;672;none;none;none;0;none;Mouse;Move;486;605;none;none
25/07/2018 13:17:22.776;680;none;none;none;0;none;Mouse;Move;479;604;none;none
25/07/2018 13:17:22.784;688;none;none;none;0;none;Mouse;Move;472;603;none;none
25/07/2018 13:17:22.792;697;none;none;none;0;none;Mouse;Move;469;602;none;none
25/07/2018 13:17:22.800;705;none;none;none;0;none;Mouse;Move;467;601;none;none
25/07/2018 13:17:22.808;713;none;none;none;0;none;Mouse;Move;466;601;none;none
25/07/2018 13:17:22.816;721;none;none;none;0;none;Mouse;Move;466;601;none;none
25/07/2018 13:17:22.824;729;none;none;none;0;none;Mouse;Move;466;600;none;none
25/07/2018 13:17:22.976;881;none;none;none;0;none;Mouse;Move;465;600;none;none
25/07/2018 13:17:22.984;889;none;none;none;0;none;Mouse;Move;465;600;none;none
25/07/2018 13:17:22.992;897;none;none;none;0;none;Mouse;Move;465;602;none;none
25/07/2018 13:17:23.0;905;none;none;none;0;none;Mouse;Move;464;603;none;none
25/07/2018 13:17:23.8;913;none;none;none;0;none;Mouse;Move;464;605;none;none
25/07/2018 13:17:23.16;921;none;none;none;0;none;Mouse;Move;464;608;none;none
25/07/2018 13:17:23.24;929;none;none;none;0;none;Mouse;Move;464;611;none;none
25/07/2018 13:17:23.32;937;none;none;none;0;none;Mouse;Move;464;614;none;none
25/07/2018 13:17:23.40;945;none;none;none;0;none;Mouse;Move;463;616;none;none
25/07/2018 13:17:23.48;952;none;none;none;0;none;Mouse;Move;463;619;none;none
25/07/2018 13:17:23.56;960;none;none;none;0;none;Mouse;Move;463;621;none;none
25/07/2018 13:17:23.64;968;none;none;none;0;none;Mouse;Move;463;623;none;none
25/07/2018 13:17:23.72;976;none;none;none;0;none;Mouse;Move;463;625;none;none
25/07/2018 13:17:23.80;984;none;none;none;0;none;Mouse;Move;463;627;none;none
25/07/2018 13:17:23.88;992;none;none;none;0;none;Mouse;Move;463;628;none;none
25/07/2018 13:17:23.96;1001;none;none;none;0;none;Mouse;Move;463;628;none;none
25/07/2018 13:17:23.104;1009;none;none;none;0;none;Mouse;Move;463;629;none;none
25/07/2018 13:17:23.112;1017;none;none;none;0;none;Mouse;Move;463;630;none;none
25/07/2018 13:17:23.120;1025;none;none;none;0;none;Mouse;Move;463;630;none;none
25/07/2018 13:17:23.128;1033;none;none;none;0;none;Mouse;Move;463;631;none;none
25/07/2018 13:17:23.136;1041;none;none;none;0;none;Mouse;Move;463;632;none;none
25/07/2018 13:17:23.152;1057;none;none;none;0;none;Mouse;Move;463;632;none;none
25/07/2018 13:17:23.160;1065;none;none;none;0;none;Mouse;Move;463;633;none;none
25/07/2018 13:17:23.168;1073;none;none;none;0;none;Mouse;Move;463;633;none;none
25/07/2018 13:17:23.176;1080;none;none;none;0;none;Mouse;Move;463;634;none;none
25/07/2018 13:17:23.184;1089;none;none;none;0;none;Mouse;Move;463;635;none;none
25/07/2018 13:17:23.192;1097;none;none;none;0;none;Mouse;Move;463;637;none;none
25/07/2018 13:17:23.200;1105;none;none;none;0;none;Mouse;Move;463;638;none;none
25/07/2018 13:17:23.209;1113;none;none;none;0;none;Mouse;Move;463;638;none;none
25/07/2018 13:17:23.216;1121;none;none;none;0;none;Mouse;Move;463;640;none;none
25/07/2018 13:17:23.224;1128;none;none;none;0;none;Mouse;Move;463;640;none;none
25/07/2018 13:17:23.232;1137;none;none;none;0;none;Mouse;Move;463;641;none;none
25/07/2018 13:17:23.240;1145;none;none;none;0;none;Mouse;Move;463;643;none;none
25/07/2018 13:17:23.249;1154;none;none;none;0;none;Mouse;Move;463;643;none;none
25/07/2018 13:17:23.256;1160;none;none;none;0;none;Mouse;Move;463;645;none;none
25/07/2018 13:17:23.264;1168;none;none;none;0;none;Mouse;Move;463;646;none;none
25/07/2018 13:17:23.272;1176;none;none;none;0;none;Mouse;Move;463;647;none;none
25/07/2018 13:17:23.280;1184;none;none;none;0;none;Mouse;Move;463;648;none;none
